uniName,teamName,teamShorthand,city,state,enrollment,conference,historicalWins,ppgScore,ppgAllowed,homeATS,offPassYdsPerGame,offRushYdsPerGame,defPassYdsPerGame,defRushYardsPerGame,offPassAttPerGame,offRushAttPerGame,defPassAttPerGame,defRushAttPerGame,Division,mainRivalUniName,secondRivalUniName,thirdRivalUniName
Baylor,Bears,BAY,Waco,Texas,20626,Big 12,615,34.2,25.5,54.2,240.2,202.5,236.3,131.2,30.3,42.7,34.5,34.6,None,,,
Iowa State,Cyclones,ISU,Ames,Iowa,30708,Big 12,538,20.7,16.5,50,270,103.4,172.1,105.2,40.1,32.9,26.5,33.2,None,,,
Kansas,Jayhawks,KU,Lawrence,Kansas,26780,Big 12,538,34.8,32.6,30.4,234.8,200.8,262,190.4,25.6,34.7,34.4,42.7,None,,,
Kansas State,Wildcats,KSU,Manhattan,Kansas,20229,Big 12,499,32.2,18.7,61.5,211.4,208.2,217.2,144.6,27.4,40.4,33.8,35,None,,,
Oklahoma,Sooners,OU,Norman,Oklahoma,28042,Big 12,881,31.5,27.6,52,236.8,217.2,245.6,191.4,31,43.3,37.3,42.4,None,,,
Oklahoma State,Cowboys,OKST,Stillwater,Oklahoma,24660,Big 12,594,32.9,29.8,58.3,293.4,127.3,287,164.2,41,37.1,40.8,36.9,None,,,
TCU,Horned Frogs,TCU,Fort Worth,Texas,11938,Big 12,657,39.5,25.5,33.3,277.5,204.6,245.4,143,30.5,38.4,34.6,36.3,None,,,
Texas,Longhorns,TEX,Austin,Texas,51991,Big 12,884,35.5,20.6,47.6,234.1,198.8,244.5,125,31.1,36.7,37.3,36.5,None,,,
Texas Tech,Red Raiders,TTU,Lubbock,Texas,40542,Big 12,557,32,27.8,54.6,295.8,151,228.6,162.5,43.5,39.4,31.1,38.9,None,,,
West Virginia,Mountaineers,WVU,Morgantown,West Virginia,25474,Big 12,683,31.2,34.2,65,241.2,164.4,270.4,146.8,36.5,36.7,31.3,35.6,None,,,
Illinois,Fighting Illini,ILL,Urbana–Champaign,Illinois,56607,Big Ten,616,24,13.1,50,214.9,180.3,165.3,93.4,31.2,43.5,30.8,29.5,West,,,
Indiana,Hoosiers,IND,Bloomington,Indiana,45328,Big Ten,479,23.9,34.3,50,218.5,101.4,272.7,181.6,40,32,34.5,44,East,,,
Iowa,Hawkeyes,IOWA,Iowa City,Iowa,29909,Big Ten,652,17.5,13.5,54.2,158.9,94.8,164.4,108.9,26,33.3,31.9,36.2,West,,,
Maryland,Terrapins,UMD,College Park,Maryland,41272,Big Ten,575,28.5,26.3,52.4,248.9,147.9,232.9,149.9,33,35,36.1,37.6,East,,,
Michigan,Wolverines,MICH,Ann Arbor,Michigan,50278,Big Ten,961,39.4,11.7,62.5,208.8,243.8,161.7,79.5,26.6,44.3,30.4,28.5,East,,,
Michigan State,Spartans,MSU,East Lansing,Michigan,49659,Big Ten,603,25.2,26.7,30.4,241,121,236.8,180.3,33.5,30.5,30.5,41.4,East,,,
Minnesota,Golden Gophers,MINN,Minneapolis,Minnesota,52376,Big Ten,709,28.7,13.1,56.5,173.8,229.2,172.1,102.5,21.5,46.5,28.2,28.1,West,,,
Nebraska,Cornhuskers,NEB,Lincoln,Nebraska,24431,Big Ten,876,22.5,28.5,41.7,215.6,129.9,232.2,195,28.3,35,33.5,42.4,West,,,
Northwestern,Wildcats,NW,Evanston,Illinois,22933,Big Ten,549,14.7,27.2,45.5,214.3,122.5,187.7,194.5,35.1,38.2,26.7,41.9,West,,,
Ohio State,Buckeyes,OSU,Columbus,Ohio,61677,Big Ten,845,46.5,16.9,58.3,289.2,203.5,175.5,107.9,29.8,36.8,27.4,35.1,East,,,
Penn State,Nittany Lions,PSU,University Park,Pennsylvania,47560,Big Ten,896,35.9,18.2,50,250.4,184.1,211.3,112.4,34.1,37.5,35.6,33.5,East,,,
Purdue,Boilermakers,PUR,West Lafayette,Indiana,49639,Big Ten,625,28.5,23.7,50,279.8,128.4,219.4,120.7,42.3,33.7,28.8,32.9,West,,,
Rutgers,Scarlet Knights,RUTG,Piscataway,New Jersey,50804,Big Ten,492,19,28.5,44,161.4,133.6,191.2,143.7,28.2,36.6,30.5,35.2,East,,,
Wisconsin,Badgers,WIS,Madison,Wisconsin,47932,Big Ten,729,27.5,20.3,37.5,189.4,176,191.6,103.6,24.3,38.3,28.7,34.5,West,,,
Alabama-Birmingham,Blazers,UAB,Birmingham,Alabama,22289,C-USA,134,30,23.1,60,208.3,228.3,193.2,166.1,25.4,40.6,30.5,36.6,None,,,
Charlotte,49ers,CHAR,Charlotte,North Carolina,30448,C-USA,29,24.4,39.4,60,271,116.1,278.5,205.3,35.8,30.9,28.6,39.8,None,,,
Florida Atlantic,Owls,FAU,Boca Raton,Florida,30155,C-USA,101,29.6,26.1,40.9,222,185.2,230.8,180.6,30.8,41.4,32.1,37,None,,,
Florida International,Panthers,FIU,Miami,Florida,56732,C-USA,77,17.8,37.6,39.1,201,107,258.6,193.9,37.7,30.6,32.9,41.1,None,,,
Louisiana Tech,Bulldogs,LT,Ruston,Louisiana,11037,C-USA,250,29.2,38,42.9,269.1,116.1,237.8,228.4,35.5,33.3,33.8,39.5,None,,,
Middle Tennessee State,Blue Raiders,MTSU,Murfreesboro,Tennessee,20857,C-USA,141,28.8,28.1,60,266.1,119,280.2,125.5,38.8,34.7,37.6,36.5,None,,,
North Texas,Mean Green,UNT,Denton,Texas,42454,C-USA,278,35.7,31.3,41.7,273.7,208.3,269,185.1,30.6,39.2,36.8,39.2,None,,,
Rice,Owls,RICE,Houston,Texas,8285,C-USA,478,26.1,35,42.1,226.9,139.2,210.9,167.2,31.1,34.9,27,33.7,None,,,
UTEP,Miners,UTEP,El Paso,Texas,24003,C-USA,341,23.8,26.4,40,215.2,159.4,201.5,141.5,32.3,38.4,26.7,33.6,None,,,
UTSA,Roadrunners,UTSA,San Antonio,Texas,34734,C-USA,69,38.3,26.1,45.8,298.7,182.2,259.6,140.1,36.3,39.2,35.7,35.2,None,,,
Western Kentucky,Hilltoppers,WKU,Bowling Green,Kentucky,16750,C-USA,94,36.2,22.8,50,333.3,142.9,220.3,154,42.9,29.6,33.6,38.8,None,,,
Army,Black Knights,ARMY,West Point,New York,4594,Independent,705,27.9,24.6,48,82.5,301.9,175,203.9,8.7,54.4,24.6,38.5,None,,,
Brigham Young,Cougars,BYU,Provo,Utah,34802,Independent,609,31.6,30.4,54.2,282.4,157.2,228.2,185,33.5,31.5,29.9,38.8,None,,,
Connecticut,Huskies,CONN,Storrs,Connecticut,32146,Independent,110,19.8,26.1,38.9,107.3,194.9,220.6,166.3,20.5,40.6,31.3,38.1,None,,,
Liberty,Flames,LIB,Lynchburg,Virginia,95148,Independent,40,29.5,22.7,68.2,223.5,185,200.1,137.7,30.5,39.8,31,37.9,None,,,
Massachusetts,Minutemen,UMASS,Amherst,Massachusetts,32045,Independent,68,13,29.9,44.4,114.4,154.2,185.1,182.6,22.9,44.5,23.6,37.4,None,,,
New Mexico State,Aggies,NMSU,Las Cruces,New Mexico,13904,Independent,323,18.7,27.5,40,142.9,141.5,183.7,173.4,23.1,34.2,26.8,40.5,None,,,
Notre Dame,Fighting Irish,ND,South Bend,Indiana,13139,Independent,881,31,20.3,57.7,189.2,191.2,186.8,130.7,25.3,41.8,29.5,34.1,None,,,
Akron,Zips,AKR,Akron,Ohio,14516,MAC,154,19.5,36.7,20,283.1,82.3,248.9,183.3,42.3,31.1,27.3,39.4,None,,,
Ball State,Cardinals,BALL,Muncie,Indiana,19337,MAC,269,23.8,27.7,38.1,236.4,145.7,216,187.8,40.7,34.6,33.6,45,None,,,
Bowling Green State,Falcons,BGSU,Bowling Green,Ohio,17645,MAC,365,24.7,32.8,40,237.5,104.1,263.3,160.7,34.6,33.9,34.9,37.2,None,,,
Buffalo,Bulls,BUFF,Buffalo,New York,32332,MAC,144,29.8,27.4,70,236.5,151.5,219,183.8,35.3,41.5,28.2,34.8,None,,,
Central Michigan,Chippewas,CMU,Mount Pleasant,Michigan,15465,MAC,297,25.3,27.3,57.1,220.8,159,219.3,147.6,33.9,37.1,31.9,39.6,None,,,
Eastern Michigan,Eagles,EMU,Ypsilanti,Michigan,15370,MAC,175,28,29.5,40,213.4,139.9,221.6,157.5,29.6,38.2,30.6,37.3,None,,,
Kent State,Golden Flashes,KENT,Kent,Ohio,26597,MAC,224,28.3,29.2,70.6,221.1,201.7,283,158.2,28.6,42.9,34,40.1,None,,,
Miami (OH),RedHawks,M-OH,Oxford,Ohio,19216,MAC,372,20.5,23,64.7,161.2,144.6,244.5,124,24.1,37.3,34.9,34.4,None,,,
Northern Illinois,Huskies,NIU,DeKalb,Illinois,16234,MAC,306,28.6,31.7,44.4,183.6,199.6,247.5,137.6,26.4,40,29.9,37.2,None,,,
Ohio,Bobcats,OHIO,Athens,Ohio,24429,MAC,301,33.6,30.7,35,304.6,137.7,312.3,143.8,34.4,33.8,38.5,32.7,None,,,
Toledo,Rockets,TOL,Toledo,Ohio,17045,MAC,407,35.1,27.7,54.6,233.8,179.6,199.5,151.8,30.5,40.5,32.4,38.8,None,,,
Western Michigan,Broncos,WMU,Kalamazoo,Michigan,19038,MAC,353,18.9,25,52.4,175.8,136.5,210,143.8,28.5,38,27.5,35.8,None,,,
Air Force,Falcons,AFA,USAF Academy,Colorado,4181,Mountain West,416,29,14.2,60,72.6,336.4,153.8,108.9,7,60.8,21.5,29.5,None,,,
Boise State,Broncos,BSU,Boise,Idaho,25830,Mountain West,261,29.1,17.3,56.5,194.2,188.8,145.4,122.5,27.5,39.5,23.4,34.6,None,,,
Colorado State,Rams,CSU,Fort Collins,Colorado,32777,Mountain West,525,12.8,29.4,47.4,193.7,90.3,203.2,172,26.9,31.9,29.8,39.8,None,,,
Fresno State,Bulldogs,FRES,Fresno,California,24585,Mountain West,374,31,22.7,47.4,285.5,132.3,203.1,165.1,34.4,33.2,30.5,36.6,None,,,
Hawaii,Rainbow Warriors,HAW,Honolulu,Hawaii,19097,Mountain West,306,20.3,35.3,45.8,203.5,145.1,226.3,214.5,37.1,31.7,28.5,37.9,None,,,
Nevada,Wolf Pack,NEV,Reno,Nevada,21034,Mountain West,230,18.5,31.3,65,177.2,112.1,233.6,173.3,32.1,35.1,29.7,39.1,None,,,
New Mexico,Lobos,UNM,Albuquerque,New Mexico,21738,Mountain West,407,14.3,26.3,21.1,108.8,127.9,200.3,165.1,20.7,36.7,26.7,38.8,None,,,
San Diego State,Aztecs,SDSU,San Diego,California,35732,Mountain West,356,23,20.8,44,169.4,164.5,224.1,115.9,24.5,38.5,33.6,30.9,None,,,
San Jose State,Spartans,SJSU,San Jose,California,37133,Mountain West,356,27.5,20.9,52.6,269.6,82.6,208.4,130,35.9,27.8,27.6,38.6,None,,,
UNLV,Rebels,UNLV,Las Vegas,Nevada,30679,Mountain West,189,26.3,29.1,47.6,215.5,143.3,221,155.3,30.2,34,28.5,40,None,,,
Utah State,Aggies,USU,Logan,Utah,27426,Mountain West,532,23.3,29.5,59.1,190.5,161.9,196.5,197.3,30.3,42.8,29.1,40.6,None,,,
Wyoming,Cowboys,WYO,Laramie,Wyoming,11479,Mountain West,531,22.6,22.8,50,129.9,196.9,223.1,152.7,22.3,37.9,33.4,35.9,None,,,
Arizona,Wildcats,ARIZ,Tucson,Arizona,49471,Pac-12,495,30.2,36.6,47.6,329.2,131.1,247.9,213.5,39.6,29.5,32.1,37.4,None,,,
Arizona State,Sun Devils,ASU,Tempe,Arizona,77881,Pac-12,589,25.3,30.8,47.6,240.6,132.9,236.5,179.7,32.3,31.5,34.8,37,None,,,
California,Golden Bears,CAL,Berkeley,California,45435,Pac-12,589,23.5,27.2,36.8,265.6,99.3,287.7,130.6,39.3,27.4,38.8,32.9,None,,,
Colorado,Buffaloes,COLO,Boulder,Colorado,37956,Pac-12,666,14.9,42.8,52.4,177.5,112.5,263.4,232.5,30.2,32.9,31,40.2,None,,,
Oregon,Ducks,ORE,Eugene,Oregon,22257,Pac-12,614,40.2,26.5,34.8,288.2,223.5,278.8,112.5,32.8,39.5,38.1,28.3,None,,,
Oregon State,Beavers,ORST,Corvallis,Oregon,33193,Pac-12,482,31.9,20.3,50,213.2,192.9,219.3,111.4,25.7,40.2,36,27.3,None,,,
Stanford,Cardinal,STAN,Stanford,California,17680,Pac-12,593,20.9,31.9,35,248.5,112.3,220.3,212.3,36.9,32.5,30.8,35.7,None,,,
UCLA,Bruins,UCLA,Los Angeles,California,47516,Pac-12,606,40,28.4,43.5,268.1,236.7,274,129.4,32.5,38.4,37.2,34.5,None,,,
USC,Trojans,USC,Los Angeles,California,49318,Pac-12,782,42.9,26.3,40.9,330.8,182.2,257.8,147.2,36.4,34.1,34.7,32.2,None,,,
Utah,Utes,UTAH,Salt Lake City,Utah,34464,Pac-12,678,37.3,20,59.1,244.8,205.2,213.8,115.7,31.6,39.9,29.3,28.3,None,,,
Washington,Huskies,WASH,Seattle,Washington,52439,Pac-12,653,39.8,25.7,33.3,366.8,138.4,231.1,132.3,43.4,31.6,28.9,35.9,None,,,
Washington State,Cougars,WSU,Pullman,Washington,29843,Pac-12,494,27.3,19.8,57.1,254.9,115.4,246.8,119.2,37.7,27.5,34.6,34.5,None,,,
Alabama,Crimson Tide,BAMA,Tuscaloosa,Alabama,38316,SEC,965,40,17.2,61.5,272.4,199.5,195.9,107.8,35.1,35.5,34.2,35,West,,,
Arkansas,Razorbacks,ARK,Fayetteville,Arkansas,29068,SEC,701,31,28.7,50,232,233.5,276.8,175.5,27.3,46.8,33.3,37.6,West,,,
Auburn,Tigers,AUB,Auburn,Alabama,31526,SEC,767,24.5,27.7,57.7,181.4,195.6,211.6,172.6,25.9,40.5,34.7,37.5,West,,,
Florida,Gators,UF,Gainesville,Florida,55781,SEC,728,31.2,27.3,65.2,230.2,208.9,236.9,171.5,28.8,35.7,30.9,38.5,East,,,
Georgia,Bulldogs,UGA,Athens,Georgia,40118,SEC,838,38.4,11.1,43.5,298.8,197.5,189,83.1,34.7,36.5,33.3,26.6,East,,,
Kentucky,Wildcats,UK,Lexington,Kentucky,30390,SEC,520,21.7,19.6,63,218.6,116.8,176,145.2,26.6,35.4,26.9,33.8,East,,,
LSU,Tigers,LSU,Baton Rouge,Louisiana,35912,SEC,802,33.4,20,47.8,245.6,192.7,208.1,132.2,32.2,39.5,30.4,34.3,West,,,
Mississippi State,Bulldogs,MSST,Starkville,Mississippi,23086,SEC,596,33.5,24.4,53.9,321.2,77.2,202.2,149.5,49.9,21.5,31.8,34.5,West,,,
Missouri,Tigers,MIZZ,Columbia,Missouri,31412,SEC,651,25.2,24.8,55.6,209.6,152.5,209.7,128.1,29.1,38.1,30,34,East,,,
Ole Miss,Rebels,MISS,Oxford,Mississippi,21203,SEC,668,35.3,24.2,45.8,227.2,278.3,216.1,167.7,27.9,48.4,31.9,39.2,West,,,
South Carolina,Gamecocks,SCAR,Columbia,South Carolina,35471,SEC,595,31.7,27.3,48,248.5,129.5,208.6,188.4,30.2,32.5,31,39.9,East,,,
Tennessee,Volunteers,TENN,Knoxville,Tennessee,31701,SEC,840,46.5,25.6,39.3,348.8,191.5,303.4,108.5,33.8,41.3,40.5,33.4,East,,,
Texas A&M,Aggies,TAMU,College Station,Texas,72530,SEC,748,21.4,21,68,225.3,130,152.5,210.8,33.9,28.8,26.5,44.4,West,,,
Vanderbilt,Commodores,VAN,Nashville,Tennessee,13796,SEC,554,26.8,34.2,34.6,194.6,161.1,303.2,153.5,28.7,36.2,34.3,33.3,East,,,
Appalachian State,Mountaineers,APP,Boone,North Carolina,20641,Sun Belt,135,33.7,24.5,47.8,250.7,188.8,204.3,130.2,30.3,38.7,28.5,35.8,None,,,
Arkansas State,Red Wolves,ARST,Jonesboro,Arkansas,12863,Sun Belt,210,25.5,29.9,47.8,227.1,92.7,251.6,152.8,32.6,32.4,30.5,39.4,None,,,
Coastal Carolina,Chanticleers,CCAR,Conway,South Carolina,10473,Sun Belt,44,31.6,26.9,47.8,257.6,174.1,276.8,125.6,26.9,40.6,31.4,33.7,None,,,
Georgia Southern,Eagles,GASO,Statesboro,Georgia,27091,Sun Belt,58,32.1,30.9,64,321.7,144.7,256.5,227.5,46.5,29.5,33.5,41,None,,,
Georgia State,Panthers,GSU,Atlanta,Georgia,55466,Sun Belt,44,30.6,31.5,54.6,194.5,227.2,230.6,160.8,24.6,48.6,30.2,39.5,None,,,
James Madison,Dukes,JMU,Harrisonburg,Virginia,22166,Sun Belt,7,36,22.3,50,263.6,183.9,221.7,78.2,29.6,44.5,29.2,31.6,None,,,
Louisiana-Lafayette,Ragin' Cajuns,ULL,Lafayette,Louisiana,16225,Sun Belt,265,25.7,23.7,54.6,220.7,141,227.2,134.9,34.5,35.2,33.6,35.4,None,,,
Louisiana-Monroe,Warhawks,ULM,Monroe,Louisiana,8565,Sun Belt,147,23.5,35.7,33.3,212.9,121.6,237.2,188.7,27.7,35,29.9,39.7,None,,,
Marshall,Thundering Herd,MRSH,Huntington,West Virginia,11125,Sun Belt,253,23.8,15.5,26.9,199.5,199,195,91.2,29,46.5,33.1,30.8,None,,,
Old Dominion,Monarchs,ODU,Norfolk,Virginia,23494,Sun Belt,40,19.5,26.5,44.4,243.7,91.9,249.2,197.5,35,25.9,29.9,47.3,None,,,
South Alabama,Jaguars,USA,Mobile,Alabama,13992,Sun Belt,52,32.4,19.4,65.2,263.9,162.4,209.1,87,33.1,39.2,34.5,28.8,None,,,
Southern Mississippi,Golden Eagles,USM,Hattiesburg,Mississippi,14146,Sun Belt,375,24.6,24.7,41.7,210.5,110.5,237.9,142.2,28.2,35.8,31.3,38.4,None,,,
Texas State,Bobcats,TXST,San Marcos,Texas,37864,Sun Belt,40,21.8,25,47.8,229.1,93.3,242.5,111.7,37.9,31.5,35.2,33.4,None,,,
Troy,Trojans,TROY,Troy,Alabama,14901,Sun Belt,145,22.5,16.6,40.9,256.8,111.8,196.2,125.5,31.4,33.5,33.1,36.7,None,,,
